nb_factures,montant_ttc_total,montant_ttc_moyen,montant_ttc_max,montant_ttc_std,nb_avoirs,ratio_avoirs,anciennete_jours,nb_reglements,montant_reg_total,montant_reg_moyen,retard_moyen_jours,retard_max_jours,nb_retards_positifs,nb_retards_graves,taux_retard,nb_modes_distincts,ratio_encaissement,gouvernorat_code,nature_client_code,mode_paiement_code,label_risque
1,22768.592,262.8,10388.338,5630.81,0,-0.002,340,2,2856.968,1403.994,-0.105,0,0,0,0.003,0,0.0,4,11,7,1
4,10244.466,2976.354,6575.888,868.94,0,0.006,711,10,-3504.395,2225.345,-36.401,-28,0,0,0.0,3,0.953,16,4,4,0
16,19982.357,1792.961,3477.882,1465.085,0,0.13,799,5,33026.53,537.145,-23.927,12,1,0,0.0,2,0.953,2,11,5,0
1,0.0,121.406,-808.526,894.685,1,0.58,506,0,-10168.204,3.628,0.919,0,0,0,0.0,1,0.0,1,15,7,1
4,21287.06,2957.273,5671.23,304.727,0,-0.006,597,2,4126.907,1887.998,0.103,-20,0,0,0.0,3,0.199,20,15,2,0
3,20607.879,316.774,843.488,122.556,0,0.002,766,6,8567.971,126.411,0.25,0,0,0,0.0,2,0.981,21,15,2,0
4,28493.078,4363.296,7238.694,1651.526,0,0.003,150,4,2148.731,3146.246,-0.517,0,0,0,0.0,2,0.945,23,4,7,0
3,2606.521,1275.896,9484.117,782.409,4,0.008,305,0,-5354.919,58.894,0.58,0,0,0,0.001,0,0.014,20,15,7,1
4,0.0,243.033,2158.707,1066.559,1,0.002,761,1,-2042.034,-342.972,0.641,0,0,0,0.0,1,1.009,4,16,6,0
11,20858.742,143.332,441.478,189.025,1,0.001,598,3,7347.25,275.803,-27.15,0,0,0,0.002,3,0.954,17,16,1,0
716,148067.735,4731.979,17158.024,8186.052,6,0.088,689,17,50683.198,5951.438,-30.077,7,1,0,0.391,5,0.724,19,2,5,0
17,130450.933,4000.238,3515.357,2908.233,1,-0.002,788,26,168051.708,7893.492,-48.034,2,1,0,0.085,3,0.775,20,1,5,0
205,138195.994,4524.605,12781.28,1215.255,14,-0.004,789,61,39452.532,2077.803,0.625,0,3,0,0.0,2,0.721,17,10,7,0
18,25081.786,2712.379,2426.154,2908.821,1,0.162,599,6,2387.629,2087.312,-0.725,-1,0,0,0.0,2,0.719,20,15,1,0
4,5482.28,218.221,3728.971,713.29,0,0.001,762,8,-2768.461,407.73,-0.674,0,0,0,0.0,1,0.976,6,11,5,0
37,143915.11,2634.819,8035.029,2706.852,0,0.102,759,91,29883.899,19365.212,-45.26,19,1,0,0.056,3,0.794,23,4,5,0
13,11475.769,1004.816,7488.573,736.816,0,0.006,783,5,7446.588,1175.75,-28.887,0,0,0,0.0,1,0.996,17,15,2,0
4,12346.794,2021.409,3824.036,819.699,0,-0.006,652,2,3308.432,1818.622,-0.763,-50,0,0,0.0,1,1.003,20,20,2,0
18,29096.73,2939.568,9459.524,1670.936,0,0.58,744,20,13080.53,2072.621,-42.038,-56,1,0,0.0,2,0.987,3,2,4,0
4,4167.71,904.84,17244.459,366.812,0,0.002,458,0,162.493,-237.37,0.915,-1,0,0,0.0,0,0.0,2,0,7,1
1,24068.002,11615.06,11214.32,650.316,0,0.002,186,1,-5444.265,150.011,-0.693,0,0,0,0.0,0,0.0,4,1,7,1
1,3639.621,6857.767,18552.898,176.63,0,0.003,167,1,721.367,-592.014,0.262,0,0,0,0.0,0,0.087,17,1,7,1
17,26020.907,12709.929,12674.92,12636.357,3,0.002,562,2,3671.174,474.175,-0.383,-24,0,0,0.002,2,0.142,2,11,7,1
3,126564.938,4858.561,8513.033,1920.355,0,-0.002,755,11,2113.473,1345.239,-21.562,0,0,0,0.0,3,0.449,17,19,2,0
1,16308.67,4679.308,11683.246,623.163,0,0.01,60,0,-8814.926,-461.776,1.137,0,0,0,0.0,0,0.031,20,16,7,1
5,65447.779,2782.429,7386.475,2472.861,0,0.006,785,54,13041.258,1766.226,-42.688,3,0,0,0.002,3,0.985,15,3,5,0
27,167181.809,2673.234,369.255,8342.964,2,0.088,744,16,172623.988,5596.791,-38.748,0,1,0,0.0,3,0.737,23,15,4,0
4,13839.816,1609.431,1950.918,1108.294,1,0.487,586,2,13660.436,301.254,-43.132,0,0,0,0.0,3,0.967,21,11,1,0
3,18639.871,1236.88,2414.486,979.048,0,-0.003,89,4,-1009.772,1040.99,-40.203,0,0,0,0.0,1,0.986,13,13,4,0
1,3294.208,569.152,1970.5,704.54,0,0.514,764,1,-5456.054,878.993,1.389,-1,0,0,0.001,3,0.89,13,11,3,0
16,154953.996,6998.908,20183.178,1511.727,0,0.067,742,17,39885.06,9382.088,-54.838,21,2,0,0.154,3,0.726,16,4,5,0
4,15787.982,1061.207,1264.288,902.7,0,0.005,514,3,-544.521,316.498,-0.033,0,0,0,0.0,2,0.994,17,20,1,0
4,2726.556,9155.677,7045.771,841.273,0,-0.001,591,3,9991.042,831.358,0.589,0,0,0,0.0,3,0.974,12,9,2,0
1,5901.107,11604.457,2443.588,1023.774,0,0.003,386,2,-9009.27,-188.512,0.534,0,0,0,0.001,0,0.093,20,7,7,1
1,158266.152,9320.597,19413.971,3485.449,0,-0.0,554,0,-266.812,2010.055,-0.185,0,0,0,0.001,0,0.0,4,1,7,1
10,35010.092,1423.584,6757.45,734.07,0,0.003,744,8,44679.088,562.739,-38.621,0,0,0,0.0,2,0.769,17,11,5,0
15,18464.707,2221.443,2046.381,807.562,1,0.091,760,11,2831.485,1099.385,-22.04,0,0,0,0.001,1,0.981,15,20,4,0
3,0.0,1208.668,1714.244,1073.754,0,-0.003,560,1,231.34,989.17,0.35,0,0,0,0.0,1,0.971,1,4,1,0
42,169237.58,2049.346,26611.07,5562.71,0,0.002,335,0,-549.661,-251.692,1.388,0,0,0,0.001,0,0.094,20,1,7,1
18,25040.772,3356.974,9747.13,2859.26,0,0.002,626,5,31159.588,4076.305,-18.076,-34,0,0,0.256,3,0.973,14,4,4,0
2,6321.935,1224.88,860.478,1404.032,0,0.002,579,2,-2857.366,1467.051,0.692,0,0,0,0.0,1,0.754,5,20,1,0
36,43989.479,6856.464,25042.242,3615.439,13,0.061,723,43,110696.312,22804.436,-23.588,18,1,0,0.002,4,0.67,16,2,5,0
5,4727.576,-80.354,2524.989,1178.391,1,0.425,453,2,-2975.059,202.147,2.09,0,0,0,0.0,1,0.765,17,15,1,0
2,19363.118,432.455,1223.941,735.553,1,-0.001,518,1,-2389.877,12655.47,-0.486,-1,3,0,0.0,2,0.974,15,20,4,0
23,87354.599,1809.767,25930.009,4043.367,2,0.169,764,22,78880.864,745.493,-31.79,0,0,0,0.124,3,0.219,1,2,5,0
5,14391.444,775.012,1492.633,548.426,1,0.001,795,7,10281.871,450.605,-8.15,-22,0,0,0.001,1,0.969,17,15,1,0
1,8503.057,4201.501,2911.697,917.913,0,-0.002,786,16,5894.844,1466.094,-18.672,-20,0,0,0.0,1,0.954,8,4,2,0
22,143967.192,4152.334,15576.096,5699.127,3,0.132,754,9,36071.446,2846.47,-26.214,0,0,0,0.001,3,0.224,16,11,5,0
12,147512.86,4182.029,9053.999,1004.157,0,0.0,749,9,37679.738,4715.148,-24.851,-10,0,0,0.0,3,0.972,20,3,6,0
5,9083.958,3908.515,3411.266,1141.922,0,0.178,367,1,5122.05,392.808,0.949,0,0,0,0.0,3,0.97,7,7,7,1
6,0.0,741.159,1408.441,774.042,0,0.479,455,0,1335.439,1365.666,0.873,0,0,0,0.002,1,0.807,12,3,1,0
14,24852.601,1671.3,5877.44,403.832,2,0.001,661,5,33059.596,2908.188,-29.565,0,0,0,0.0,4,0.446,18,3,1,0
1,32663.594,5299.705,11770.226,6656.313,0,0.0,523,0,-5070.605,-624.205,1.027,0,0,0,0.0,0,0.051,17,10,7,1
3,1016667.208,624.274,24216.444,5074.459,2,0.128,763,3,16282.154,686.233,-0.508,0,0,0,0.001,3,0.797,1,20,5,1
5,25450.674,1997.499,3730.817,1325.495,0,-0.007,472,4,8197.456,1337.849,-0.309,1,0,0,0.0,3,0.985,20,4,4,0
16,45084.901,1417.763,1919.379,-38.687,1,0.334,772,16,9381.142,899.953,-49.189,0,0,0,0.001,2,0.959,23,15,1,0
15,16377.017,1448.764,3312.48,833.401,0,-0.006,479,2,2770.434,1036.145,-19.388,0,0,0,0.0,3,0.488,24,15,5,0
1,0.0,-272.025,3044.271,465.161,0,0.003,39,0,-1412.955,550.85,-0.332,0,0,0,0.0,0,0.173,23,15,7,1
2,14827.162,2176.492,8304.484,1199.624,0,-0.001,756,11,15984.857,1376.78,-9.116,0,0,0,0.001,2,0.968,17,4,4,0
3,21512.982,2350.104,2651.926,1360.522,0,-0.003,748,3,7256.1,1217.105,-10.164,0,0,0,0.0,1,0.974,14,4,4,0
6,11496.125,-227.889,1673.192,292.04,1,0.076,780,5,9132.239,444.585,-20.569,0,0,0,0.0,3,0.38,15,16,1,0
1,4289.719,3437.938,4087.923,920.983,0,-0.003,153,2,2454.601,3189.36,-0.547,0,0,0,0.0,1,0.97,23,15,4,0
4,0.0,745.84,4419.772,715.681,0,-0.004,322,2,-2292.857,516.586,1.572,1,0,0,0.001,2,0.975,0,3,2,0
422,111321.811,3291.478,78522.315,3847.603,2,0.1,800,16,89010.712,28142.152,-38.902,15,1,0,0.001,2,0.764,21,1,5,0
5,418.175,1842.897,2454.862,1516.249,0,-0.003,510,19,3999.336,1781.242,-28.236,-21,0,0,0.0,2,0.979,8,20,2,0
17,26516.402,1455.426,2124.522,1694.193,1,-0.001,761,16,39457.783,1311.906,-38.014,-29,1,0,0.0,3,1.354,20,11,4,0
16,30597.225,1459.389,64555.385,1945.574,0,0.003,736,6,28559.339,1512.464,-31.571,3,1,0,0.087,2,0.97,13,11,5,0
4,22740.695,816.133,10902.277,348.724,0,0.006,319,1,1944.054,-591.354,-0.192,1,0,0,0.002,0,0.0,23,1,7,1
3,0.0,-276.136,854.234,29.061,1,0.525,645,0,266.448,1065.011,1.002,0,0,0,0.0,1,0.957,17,16,1,0
12,121291.199,2783.979,17303.406,4174.942,10,0.076,782,45,59981.236,1066.211,-24.399,8,8,0,0.093,4,0.82,2,1,5,0
12,32947.24,2169.953,18963.041,5020.783,0,0.002,467,1,60278.188,1831.325,-1.077,-1,0,0,0.0,3,0.837,1,1,4,0
4,10113.219,1033.885,2163.452,1258.744,0,-0.003,519,0,-1913.895,463.374,-27.35,0,0,0,0.001,2,0.964,23,4,2,0
3,3561.586,1486.963,8387.593,446.654,0,-0.002,741,5,4332.984,-157.459,-36.378,0,0,0,0.0,3,0.758,12,2,5,0
5,13117.655,793.851,1388.229,228.791,0,0.006,635,8,3911.688,537.107,0.055,0,0,0,0.0,1,0.976,14,16,1,0
38,35892.388,3680.551,8024.173,40.829,0,0.001,450,29,15474.545,4267.376,-0.417,-30,0,0,0.0,2,0.373,14,2,4,0
35,23230.792,3322.265,36222.697,2019.52,0,-0.003,757,15,83339.224,7602.973,-53.126,44,1,0,0.001,3,0.799,0,2,5,0
17,162341.885,2516.634,90307.555,3340.394,0,-0.001,735,11,38937.357,2220.528,0.011,0,1,0,0.0,2,0.253,8,4,5,0
1,3439.939,3933.15,28205.532,427.704,2,0.002,215,1,-244.794,-170.702,0.467,0,0,0,0.001,0,0.046,20,15,7,1
4,0.0,412.227,1650.841,830.454,1,0.497,608,2,1965.229,-23.065,1.239,0,0,0,0.0,1,0.97,17,15,1,0
6,0.0,2507.102,3185.229,337.196,0,0.473,389,2,2936.448,-91.985,1.563,0,0,0,0.0,1,0.686,21,4,1,0
2,20313.17,2245.786,6340.036,290.359,0,0.003,266,10,23949.817,1960.408,-38.053,-62,0,0,0.0,3,0.961,15,4,4,0
14,45515.151,775.966,13545.27,788.811,2,0.15,762,5,-359.438,970.581,-9.011,0,0,0,0.001,2,0.397,13,11,1,1
45,99022.148,9104.804,18371.922,9008.425,0,0.003,402,0,-5621.996,1946.032,0.757,0,0,0,0.0,0,0.0,0,7,7,1
14,86423.794,2674.516,15230.781,6900.996,0,0.127,720,20,158460.706,2311.187,-16.689,20,1,0,0.101,2,0.383,22,11,5,0
5,137659.989,3195.78,30191.676,4128.831,1,0.174,753,8,34341.555,3133.4,-18.9,0,0,0,0.0,3,0.487,17,19,1,0
3,0.0,-503.958,1088.935,162.323,0,0.487,729,6,1674.492,563.689,0.123,0,0,0,0.0,1,0.728,2,21,1,1
2,1128.073,611.07,2099.189,844.786,0,0.004,533,3,-260.07,38.496,-0.652,0,0,0,0.002,1,0.983,15,11,1,0
3,22879.159,2369.192,7446.058,983.956,0,0.164,271,5,10301.551,1122.4,-0.35,0,1,0,0.0,1,0.535,14,11,1,0
11,16207.814,585.667,1510.29,781.146,0,0.495,500,2,-3377.198,342.154,1.104,0,0,0,0.0,1,1.001,10,4,4,0
8,113394.784,651.433,22645.438,2790.264,0,0.09,704,15,63793.351,8724.438,0.129,0,1,0,0.002,3,0.758,12,4,1,0
15,119550.219,518.972,2522.799,1955.011,0,0.132,774,33,20721.463,1214.441,-36.868,0,1,0,0.001,2,0.711,1,11,5,0
1,10671.492,4701.74,1627.075,947.485,0,0.003,243,0,-3221.071,-496.404,0.102,0,0,0,0.0,0,0.029,0,15,7,1
20,47650.085,2347.114,16805.608,1390.298,5,0.192,771,10,47131.825,3708.223,-53.012,0,1,0,0.025,3,1.285,16,2,1,0
1,23476.332,4542.174,16822.208,5062.417,5,0.18,789,0,-201.399,550.885,-0.131,0,0,0,0.0,0,0.0,17,11,7,1
17,2018764.449,4636.046,94630.125,4079.85,5,0.064,545,24,102202.044,2277.424,-10.786,13,2,0,0.134,4,0.726,1,1,1,0
4,0.0,847.928,2962.054,568.864,0,-0.002,359,3,1335.874,187.341,0.563,0,0,0,0.0,1,0.971,14,4,1,0
2,21578.323,2723.652,19400.153,413.846,0,0.003,32,0,3515.685,-439.323,1.839,0,0,0,0.0,0,0.0,17,1,7,1
13,37322.439,2841.951,6067.668,674.843,0,0.004,777,3,9881.659,5236.961,-41.52,0,0,0,0.0,3,0.804,16,20,2,0
29,140223.562,2337.913,25981.378,3368.594,5,0.142,771,63,81400.482,2304.552,-25.072,0,1,0,0.205,3,0.68,5,11,5,0
19,30820.521,1736.323,3885.342,1321.461,0,0.0,753,18,31109.795,2599.047,-48.861,22,3,0,0.326,3,0.565,23,2,4,0
8,27370.819,1502.199,2454.119,207.765,2,0.409,360,1,3370.003,2169.903,-0.037,-1,0,0,0.0,1,0.503,14,11,2,0
14,25161.3,3910.424,3256.456,3059.628,0,0.006,451,21,8329.335,2080.086,-32.723,0,0,0,0.0,1,0.964,23,4,3,0
2,19502.485,3246.242,8007.603,1602.793,0,0.002,286,6,3803.474,1495.674,0.116,-56,0,0,0.001,1,1.009,20,20,6,0
1,27521.1,6359.751,8542.729,599.914,0,0.002,511,1,2220.289,2148.962,-1.503,0,0,0,0.0,1,0.017,2,15,5,1
1,105075.992,-185.411,640.334,48.514,1,0.089,753,2,2685.567,431.512,1.174,0,0,0,0.0,3,0.0,13,11,1,1
6,0.0,-70.793,373.05,488.432,0,0.554,512,2,3308.552,941.431,0.668,0,0,0,0.0,1,1.001,17,15,1,0
16,36860.009,5256.882,3741.994,1912.973,0,0.292,679,19,84944.599,5171.415,-40.338,-5,1,0,0.001,2,0.734,15,4,4,0
6,985662.748,2566.228,6218.901,1068.97,5,0.128,746,5,85308.3,1919.188,-17.814,0,0,0,0.044,2,0.986,23,19,2,0
5,16216.827,-264.041,1288.676,996.816,0,0.498,532,5,2313.315,1230.232,-29.353,0,0,0,0.0,1,0.97,17,11,1,0
10,36142.159,5461.081,3906.588,1342.813,0,-0.005,178,11,38639.99,4080.767,-9.713,0,0,0,0.0,3,0.97,8,3,4,0
18,33976.537,2245.977,1383.218,787.696,0,0.003,526,14,14569.839,213.759,-27.677,0,0,0,0.0,2,0.987,21,11,5,0
3,10084.138,2500.501,1926.432,2163.379,0,0.001,729,2,7419.898,682.439,-53.575,-54,0,0,0.0,1,1.027,16,20,5,0
12,6711.772,-555.009,1390.073,591.822,2,0.4,772,6,6526.293,566.891,0.802,0,0,0,0.0,3,0.254,2,1,1,0
60,120142.768,11213.655,29701.685,3399.365,0,-0.0,542,6,105313.868,998.691,-0.366,0,0,0,0.0,0,0.0,17,15,7,1
10,19410.555,3853.705,14937.878,2480.192,4,0.108,787,53,92548.359,2718.007,-0.43,0,9,0,0.109,3,0.682,13,11,5,0
2,0.0,198.874,1484.973,446.813,4,-0.0,758,5,-1694.4,-256.003,-0.037,0,0,0,0.0,1,0.977,2,21,0,0
5,0.0,636.757,10158.673,2126.974,0,0.002,758,9,6494.379,901.412,-34.83,0,0,0,0.002,3,0.749,17,2,5,0
1,10693.0,178.249,1708.64,915.464,0,0.51,280,3,-2175.578,1064.909,0.288,0,0,0,0.0,1,0.0,4,15,7,0
5,17141.326,989.682,6106.647,624.654,0,0.166,577,6,8493.855,862.269,0.464,0,0,0,0.002,0,0.559,22,10,1,0
2,12569.942,2884.903,4077.315,135.554,0,0.002,570,3,362.939,1724.076,-42.611,0,0,0,0.0,1,0.986,13,20,1,0
13,29184.565,2852.76,3372.836,2301.225,0,0.122,769,9,37464.867,9548.99,-41.632,1,0,0,0.0,3,0.968,12,16,5,0
7,12601.873,2905.246,6200.901,351.89,0,0.004,658,6,37258.901,353.052,-25.284,-1,0,0,0.0,3,0.663,7,15,5,0
1,4886.238,537.98,2805.588,1065.44,0,0.52,563,0,414.088,973.827,0.289,0,0,0,0.0,1,0.0,17,11,7,0
19,91138.001,3405.457,20228.75,4593.175,6,0.167,761,4,104643.002,7137.198,-48.487,15,2,1,0.16,5,0.726,21,11,5,0
1,0.0,2429.436,517.371,1129.357,0,0.001,753,2,-2980.298,1287.165,1.04,0,0,0,0.0,1,1.007,23,15,2,0
2,0.0,20392.52,2012.287,1351.203,0,0.008,525,1,-1677.565,1085.168,-0.061,0,0,0,0.0,1,0.0,23,4,2,1
9,26194.394,-304.256,2557.754,755.885,0,-0.002,209,7,3305.409,1216.981,-44.505,-34,0,0,0.0,3,1.0,14,4,1,0
19,106485.177,3285.404,3139.129,1156.486,8,0.004,738,9,35871.927,4474.014,-57.945,4,0,0,0.001,3,0.914,17,11,2,0
2,0.0,2051.198,8586.599,3160.405,0,0.214,673,10,18202.373,2852.296,-45.343,0,1,0,0.0,3,1.012,11,4,4,0
5,35594.364,2453.457,3896.835,205.481,2,-0.001,484,14,10418.049,598.144,0.493,0,0,0,0.001,2,0.655,1,4,5,0
13,23700.405,1812.971,8634.933,1843.342,0,-0.0,736,21,6887.584,2123.7,-62.602,1,0,0,0.0,3,1.097,15,11,5,0
3,9174.724,1989.561,2387.9,1354.974,0,0.0,199,3,838.179,275.372,-0.239,0,0,0,0.0,1,1.467,22,21,1,0
32,1558107.238,3839.058,26765.048,5241.106,16,0.104,759,50,109396.51,14445.501,-3.604,0,1,0,0.002,4,0.0,20,19,0,1
1,20858.307,4843.344,17484.067,6577.43,0,0.001,570,0,-3928.634,768.04,-7.313,0,0,0,0.0,0,0.0,17,12,7,1
16,36658.229,2091.965,4780.372,1284.492,0,0.003,526,9,20849.115,3248.013,-65.841,-1,0,0,0.001,1,0.97,6,11,5,0
1,12090.564,1399.491,18923.198,1753.672,0,0.004,430,0,-6345.95,-651.946,0.419,0,0,0,0.0,0,0.055,20,15,7,1
