client_id,label_risque,score_anomalie_if,score_anomalie_lstm,score_anomalie_river,score_anomalie_final,pred_isolation_forest,pred_lstm,pred_river,pred_ensemble,nb_votes,alerte,raison_principale,retard_moyen_jours,taux_retard,ratio_encaissement,montant_ttc_moyen
13,0,0.023,0.0,0.0,0.0092,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,121.092
14,1,0.6781,0.0014,0.0,0.2718,1,1,0,1,2,ORANGE,Faible encaissement (71.1%),-26.248,0.099,0.711,2930.453
15,1,0.2851,0.0003,0.0,0.1141,0,1,0,0,1,JAUNE,Faible encaissement (0.0%),0.0,0.0,0.0,8597.562
16,1,0.5519,0.0005,0.0,0.221,1,1,0,1,2,ORANGE,Taux retard élevé (21.2%) | Faible encaissement (10.1%),1.0,0.212,0.101,1242.872
17,1,0.1825,0.0001,0.0,0.073,0,0,0,0,0,VERT,Faible encaissement (0.0%),0.0,0.0,0.0,5181.387
18,0,0.0194,0.0,0.0,0.0078,0,0,0,0,0,VERT,Faible encaissement (52.3%),0.0,0.0,0.523,787.708
19,0,0.0439,0.0,0.0,0.0176,0,0,0,0,0,VERT,Comportement statistiquement atypique,-22.875,0.0,1.153,1784.755
20,0,0.0674,0.0,0.0,0.0269,0,0,0,0,0,VERT,Comportement statistiquement atypique,-30.2,0.0,1.392,1444.467
21,0,0.0167,0.0,0.0,0.0067,0,0,0,0,0,VERT,Comportement statistiquement atypique,-11.25,0.0,0.996,799.389
22,0,0.1711,0.0,0.0,0.0684,0,0,0,0,0,VERT,Comportement statistiquement atypique,-39.294,0.0,0.994,2253.047
23,0,0.0617,0.0,0.0,0.0247,0,0,0,0,0,VERT,Comportement statistiquement atypique,-39.444,0.0,0.87,1912.522
24,0,0.7614,0.0003,0.0,0.3047,1,1,0,1,2,ORANGE,Faible encaissement (68.4%),-27.051,0.0,0.684,16016.576
25,0,0.2008,0.0,0.0,0.0803,0,0,0,0,0,VERT,Comportement statistiquement atypique,-46.0,0.0,0.815,1768.419
26,0,0.0575,0.0,0.0,0.023,0,0,0,0,0,VERT,Comportement statistiquement atypique,-20.636,0.0,0.824,3020.461
27,0,0.038,0.0,0.0,0.0152,0,0,0,0,0,VERT,Comportement statistiquement atypique,-18.25,0.0,1.0,489.447
28,0,0.0107,0.0,0.0,0.0043,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.951,1735.28
29,0,0.0167,0.0,0.0,0.0067,0,0,0,0,0,VERT,Comportement statistiquement atypique,-9.833,0.0,0.835,1618.192
30,0,0.0729,0.0,0.0,0.0292,0,0,0,0,0,VERT,Comportement statistiquement atypique,-29.562,0.0,0.888,3163.07
31,0,0.025,0.0,0.0,0.01,0,0,0,0,0,VERT,Faible encaissement (72.1%),0.0,0.0,0.721,105.031
32,0,0.041,0.0,0.0,0.0164,0,0,0,0,0,VERT,Comportement statistiquement atypique,-16.267,0.0,0.893,1067.654
33,0,0.0188,0.0,0.0,0.0075,0,0,0,0,0,VERT,Faible encaissement (50.4%),0.0,0.0,0.504,1036.95
34,0,0.1917,0.0,0.0,0.0767,0,0,0,0,0,VERT,Comportement statistiquement atypique,-19.0,0.111,1.022,542.089
35,0,0.0085,0.0,0.0,0.0034,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.997,729.801
36,0,0.0653,0.0,0.0,0.0261,0,0,0,0,0,VERT,Faible encaissement (51.3%),-40.0,0.0,0.513,782.091
37,0,0.0458,0.0,0.0,0.0183,0,0,0,0,0,VERT,Comportement statistiquement atypique,-3.455,0.0,1.111,420.824
38,0,0.383,0.0,0.0,0.1532,0,0,0,0,0,VERT,Comportement statistiquement atypique,-53.016,0.0,0.883,1277.715
39,0,0.1301,0.0,0.0,0.0521,0,0,0,0,0,VERT,Comportement statistiquement atypique,-55.857,0.0,0.993,1002.272
40,0,0.0892,0.0,0.0,0.0357,0,0,0,0,0,VERT,Faible encaissement (75.9%),-50.538,0.0,0.759,819.097
41,0,0.2394,0.0,0.0,0.0958,0,0,0,0,0,VERT,Taux retard élevé (15.4%) | Faible encaissement (46.2%),-12.769,0.154,0.462,896.861
42,0,0.0636,0.0,0.0,0.0255,0,0,0,0,0,VERT,Comportement statistiquement atypique,-47.444,0.0,0.924,1522.962
43,0,0.0611,0.0,0.0,0.0244,0,0,0,0,0,VERT,Comportement statistiquement atypique,-42.0,0.0,0.994,1482.551
44,0,0.0084,0.0,0.0,0.0034,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,752.345
45,0,0.0814,0.0,0.0,0.0326,0,0,0,0,0,VERT,Comportement statistiquement atypique,-33.733,0.0,1.212,1962.844
46,0,0.1887,0.0,0.0,0.0755,0,0,0,0,0,VERT,Comportement statistiquement atypique,-55.0,0.0,0.99,4276.488
47,0,0.0399,0.0,0.0,0.016,0,0,0,0,0,VERT,Comportement statistiquement atypique,-35.667,0.0,1.023,2190.047
48,0,0.0094,0.0,0.0,0.0037,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,670.987
49,0,0.0131,0.0,0.0,0.0052,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,447.456
50,0,0.0897,0.0,0.0,0.0359,0,0,0,0,0,VERT,Comportement statistiquement atypique,-29.857,0.0,1.166,1196.51
51,0,0.0145,0.0,0.0,0.0058,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.99,2777.824
52,0,0.2185,0.0,0.0,0.0874,0,0,0,0,0,VERT,Comportement statistiquement atypique,-62.667,0.0,0.99,2160.483
53,0,0.1907,0.0,0.0,0.0763,0,0,0,0,0,VERT,Comportement statistiquement atypique,-56.214,0.0,0.988,1704.791
54,0,0.0965,0.0,0.0,0.0386,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.68,447.618
55,0,0.3136,0.0001,0.0,0.1255,0,1,0,0,1,JAUNE,Taux retard élevé (33.3%) | Faible encaissement (72.1%),-6.556,0.333,0.721,1519.432
56,0,0.0535,0.0,0.0,0.0214,0,0,0,0,0,VERT,Comportement statistiquement atypique,-39.417,0.0,1.011,1061.722
57,0,0.0108,0.0,0.0,0.0043,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,532.316
58,0,0.1975,0.0,0.0,0.079,0,0,0,0,0,VERT,Comportement statistiquement atypique,-50.4,0.0,0.801,4700.864
59,0,0.0522,0.0,0.0,0.0209,0,0,0,0,0,VERT,Comportement statistiquement atypique,-9.636,0.0,0.9,2752.655
60,0,0.0536,0.0,0.0,0.0215,0,0,0,0,0,VERT,Comportement statistiquement atypique,-16.6,0.0,0.903,2583.606
61,0,0.0262,0.0,0.0,0.0105,0,0,0,0,0,VERT,Comportement statistiquement atypique,-20.5,0.0,0.811,759.718
62,0,0.0119,0.0,0.0,0.0048,0,0,0,0,0,VERT,Faible encaissement (68.5%),0.0,0.0,0.685,671.995
63,0,0.0435,0.0,0.0,0.0174,0,0,0,0,0,VERT,Comportement statistiquement atypique,-17.444,0.0,1.09,2960.394
64,0,0.2079,0.0,0.0,0.0832,0,0,0,0,0,VERT,Taux retard élevé (16.7%),-0.667,0.167,0.99,1724.637
65,0,0.0943,0.0,0.0,0.0377,0,0,0,0,0,VERT,Comportement statistiquement atypique,-35.158,0.0,1.038,276.506
66,0,0.0682,0.0,0.0,0.0273,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.877,3572.178
67,0,0.1842,0.0,0.0,0.0737,0,0,0,0,0,VERT,Comportement statistiquement atypique,-53.0,0.0,1.115,632.256
68,0,0.0305,0.0,0.0,0.0122,0,0,0,0,0,VERT,Comportement statistiquement atypique,-19.333,0.0,1.0,894.645
69,0,0.0165,0.0,0.0,0.0066,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,307.182
70,0,0.0271,0.0,0.0,0.0109,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.068,1513.937
71,0,0.1655,0.0,0.0,0.0662,0,0,0,0,0,VERT,Comportement statistiquement atypique,-50.5,0.0,0.899,1315.14
72,0,0.3099,0.0,0.0,0.124,0,0,0,0,0,VERT,Comportement statistiquement atypique,-0.625,0.125,0.903,5865.453
73,0,0.1334,0.0,0.0,0.0533,0,0,0,0,0,VERT,Comportement statistiquement atypique,-40.0,0.0,0.99,1404.008
74,0,0.0096,0.0,0.0,0.0038,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,594.205
75,0,0.0045,0.0,0.0,0.0018,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.89,459.742
76,0,0.3543,0.0,0.0,0.1417,0,0,0,0,0,VERT,Faible encaissement (54.7%),-40.393,0.0,0.547,3888.53
77,0,0.0093,0.0,0.0,0.0037,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,1588.418
78,0,0.0262,0.0,0.0,0.0105,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.903,411.733
79,0,0.0258,0.0,0.0,0.0103,0,0,0,0,0,VERT,Faible encaissement (46.1%),0.0,0.0,0.461,388.9
80,0,0.152,0.0,0.0,0.0608,0,0,0,0,0,VERT,Comportement statistiquement atypique,-47.667,0.0,0.996,1042.345
81,0,0.0266,0.0,0.0,0.0107,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.912,74.166
82,0,0.1431,0.0,0.0,0.0572,0,0,0,0,0,VERT,Comportement statistiquement atypique,-5.867,0.0,0.9,4937.933
83,0,0.2982,0.0,0.0,0.1193,0,0,0,0,0,VERT,Faible encaissement (75.5%),-38.75,0.0,0.755,5897.985
84,0,0.0186,0.0,0.0,0.0074,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.99,2382.637
85,0,0.0227,0.0,0.0,0.0091,0,0,0,0,0,VERT,Faible encaissement (75.2%),0.0,0.0,0.752,694.356
86,1,0.0875,0.0,0.0,0.035,0,0,0,0,0,VERT,Faible encaissement (0.0%),0.0,0.0,0.0,91.776
87,0,0.0298,0.0,0.0,0.0119,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.856,276.896
88,0,0.0242,0.0,0.0,0.0097,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,142.136
89,0,0.0124,0.0,0.0,0.005,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,453.296
90,0,0.0242,0.0,0.0,0.0097,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,141.906
91,0,0.0388,0.0,0.0,0.0155,0,0,0,0,0,VERT,Faible encaissement (29.5%),0.0,0.0,0.295,232.468
92,0,0.0216,0.0,0.0,0.0086,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,239.236
93,0,0.219,0.0,0.0,0.0876,0,0,0,0,0,VERT,Taux retard élevé (16.7%) | Faible encaissement (79.5%),-13.0,0.167,0.795,2104.371
94,0,0.0458,0.0,0.0,0.0183,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,203.772
95,0,0.0139,0.0,0.0,0.0055,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,341.121
96,0,0.0614,0.0,0.0,0.0246,0,0,0,0,0,VERT,Faible encaissement (64.4%),-23.429,0.0,0.644,2851.329
97,0,0.023,0.0,0.0,0.0092,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,107.126
98,0,0.0303,0.0,0.0,0.0121,0,0,0,0,0,VERT,Comportement statistiquement atypique,-30.833,0.0,0.993,1431.93
99,0,0.0096,0.0,0.0,0.0038,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,682.283
100,0,0.0906,0.0,0.0,0.0362,0,0,0,0,0,VERT,Faible encaissement (24.6%),-43.5,0.0,0.246,2090.786
101,0,0.0215,0.0,0.0,0.0086,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,193.774
102,0,0.0549,0.0,0.0,0.022,0,0,0,0,0,VERT,Faible encaissement (51.4%),0.0,0.0,0.514,1081.764
103,0,0.0825,0.0,0.0,0.033,0,0,0,0,0,VERT,Comportement statistiquement atypique,-28.4,0.0,1.022,4038.114
104,0,0.263,0.0,0.0,0.1052,0,0,0,0,0,VERT,Faible encaissement (31.2%),-60.0,0.0,0.312,1291.74
105,0,0.173,0.0,0.0,0.0692,0,0,0,0,0,VERT,Comportement statistiquement atypique,-48.0,0.0,0.99,2063.294
106,0,0.2768,0.0,0.0,0.1107,0,0,0,0,0,VERT,Faible encaissement (0.8%),-51.0,0.0,0.008,1038.472
107,0,0.0114,0.0,0.0,0.0045,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,489.684
108,0,0.0459,0.0,0.0,0.0184,0,0,0,0,0,VERT,Comportement statistiquement atypique,-16.375,0.0,1.15,694.055
109,0,0.1629,0.0,0.0,0.0652,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.05,0.05,1.0,237.561
110,0,0.05,0.0,0.0,0.02,0,0,0,0,0,VERT,Comportement statistiquement atypique,-36.833,0.0,1.0,476.841
111,0,0.0713,0.0,0.0,0.0285,0,0,0,0,0,VERT,Faible encaissement (68.9%),-38.857,0.0,0.689,915.478
112,0,0.0215,0.0,0.0,0.0086,0,0,0,0,0,VERT,Faible encaissement (48.5%),0.0,0.0,0.485,1206.977
113,0,0.0022,0.0,0.0,0.0009,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.922,848.48
114,0,0.2126,0.0,0.0,0.085,0,0,0,0,0,VERT,Comportement statistiquement atypique,-28.0,0.056,0.888,4249.699
115,0,0.0793,0.0,0.0,0.0317,0,0,0,0,0,VERT,Comportement statistiquement atypique,-9.952,0.0,0.924,2612.748
116,0,0.1291,0.0,0.0,0.0517,0,0,0,0,0,VERT,Comportement statistiquement atypique,-47.0,0.0,0.919,1408.955
117,0,0.0679,0.0,0.0,0.0272,0,0,0,0,0,VERT,Comportement statistiquement atypique,-11.818,0.0,0.835,906.956
118,0,0.0072,0.0,0.0,0.0029,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.931,387.884
119,0,0.023,0.0,0.0,0.0092,0,0,0,0,0,VERT,Faible encaissement (79.9%),0.0,0.0,0.799,966.968
120,0,0.1443,0.0,0.0,0.0577,0,0,0,0,0,VERT,Comportement statistiquement atypique,-57.429,0.0,0.859,1464.855
121,0,0.0775,0.0,0.0,0.031,0,0,0,0,0,VERT,Comportement statistiquement atypique,-51.9,0.0,0.993,1054.868
122,0,0.2434,0.0,0.0,0.0974,0,0,0,0,0,VERT,Taux retard élevé (20.0%),0.2,0.2,0.987,701.147
123,0,0.0812,0.0,0.0,0.0325,0,0,0,0,0,VERT,Comportement statistiquement atypique,-42.385,0.0,1.073,412.048
124,0,0.1432,0.0,0.0,0.0573,0,0,0,0,0,VERT,Comportement statistiquement atypique,-54.611,0.0,0.964,246.973
125,0,0.0454,0.0,0.0,0.0182,0,0,0,0,0,VERT,Comportement statistiquement atypique,-37.5,0.0,0.899,1772.123
126,0,0.2455,0.0,0.0,0.0982,0,0,0,0,0,VERT,Comportement statistiquement atypique,-7.889,0.111,1.062,261.915
127,0,0.0461,0.0,0.0,0.0185,0,0,0,0,0,VERT,Comportement statistiquement atypique,-28.0,0.0,0.96,2033.165
128,0,0.1499,0.0,0.0,0.06,0,0,0,0,0,VERT,Comportement statistiquement atypique,-25.0,0.0,1.334,3568.485
129,0,0.2895,0.0,0.0,0.1158,0,0,0,0,0,VERT,Faible encaissement (64.9%),-37.474,0.026,0.649,572.154
130,0,0.0154,0.0,0.0,0.0061,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.859,228.223
131,0,0.0492,0.0,0.0,0.0197,0,0,0,0,0,VERT,Faible encaissement (7.9%),0.0,0.0,0.079,751.104
132,0,0.087,0.0,0.0,0.0348,0,0,0,0,0,VERT,Faible encaissement (77.6%),-53.556,0.0,0.776,978.464
133,0,0.107,0.0,0.0,0.0428,0,0,0,0,0,VERT,Faible encaissement (55.4%),-26.0,0.0,0.554,3630.69
134,1,0.0763,0.0,0.0,0.0305,0,0,0,0,0,VERT,Faible encaissement (0.0%),0.0,0.0,0.0,356.769
135,0,0.2605,0.0,0.0,0.1042,0,0,0,0,0,VERT,Taux retard élevé (18.2%),-20.545,0.182,1.108,1497.372
136,0,0.0216,0.0,0.0,0.0086,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,216.015
137,0,0.1092,0.0,0.0,0.0437,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.984,2607.251
138,0,0.0233,0.0,0.0,0.0093,0,0,0,0,0,VERT,Faible encaissement (61.5%),0.0,0.0,0.615,136.737
139,0,0.0267,0.0,0.0,0.0107,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,117.958
140,0,0.0158,0.0,0.0,0.0063,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.801,469.017
141,0,0.0126,0.0,0.0,0.005,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,484.093
142,0,0.0045,0.0,0.0,0.0018,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,653.542
143,0,0.172,0.0,0.0,0.0688,0,0,0,0,0,VERT,Comportement statistiquement atypique,-52.25,0.0,0.992,1289.942
144,0,0.0032,0.0,0.0,0.0013,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.99,1187.636
145,1,0.085,0.0,0.0,0.034,0,0,0,0,0,VERT,Faible encaissement (0.0%),0.0,0.0,0.0,222.866
146,0,0.134,0.0,0.0,0.0536,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,2.046,874.99
147,0,0.0195,0.0,0.0,0.0078,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.975,1352.881
148,0,0.1443,0.0,0.0,0.0577,0,0,0,0,0,VERT,Faible encaissement (78.6%),-49.5,0.0,0.786,1162.777
149,0,0.0141,0.0,0.0,0.0056,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,517.91
150,0,0.1299,0.0,0.0,0.052,0,0,0,0,0,VERT,Comportement statistiquement atypique,-47.6,0.0,0.99,3369.115
151,0,0.1056,0.0,0.0,0.0422,0,0,0,0,0,VERT,Comportement statistiquement atypique,-27.0,0.0,1.0,801.84
152,0,0.0402,0.0,0.0,0.0161,0,0,0,0,0,VERT,Comportement statistiquement atypique,-40.143,0.0,1.0,1139.501
153,0,0.0279,0.0,0.0,0.0112,0,0,0,0,0,VERT,Faible encaissement (60.4%),-5.0,0.0,0.604,910.049
154,0,0.0468,0.0,0.0,0.0187,0,0,0,0,0,VERT,Faible encaissement (79.8%),-28.7,0.0,0.798,2088.546
155,0,0.1159,0.0,0.0,0.0463,0,0,0,0,0,VERT,Comportement statistiquement atypique,-40.333,0.0,0.99,2272.927
156,0,0.0663,0.0,0.0,0.0265,0,0,0,0,0,VERT,Comportement statistiquement atypique,-42.857,0.0,0.852,1637.784
157,0,0.0941,0.0,0.0,0.0376,0,0,0,0,0,VERT,Comportement statistiquement atypique,-31.5,0.0,1.0,797.092
158,0,0.0901,0.0,0.0,0.036,0,0,0,0,0,VERT,Comportement statistiquement atypique,-40.214,0.0,1.342,2117.878
159,0,0.0222,0.0,0.0,0.0089,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.059,1104.446
160,0,0.1755,0.0,0.0,0.0702,0,0,0,0,0,VERT,Comportement statistiquement atypique,-18.667,0.111,0.922,1195.883
161,0,0.0089,0.0,0.0,0.0036,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,789.046
162,0,0.0321,0.0,0.0,0.0128,0,0,0,0,0,VERT,Comportement statistiquement atypique,-23.2,0.0,0.996,837.019
163,0,0.1477,0.0,0.0,0.0591,0,0,0,0,0,VERT,Comportement statistiquement atypique,-50.042,0.0,1.097,1287.236
164,0,0.0223,0.0,0.0,0.0089,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,154.629
165,0,0.0565,0.0,0.0,0.0226,0,0,0,0,0,VERT,Comportement statistiquement atypique,-26.583,0.0,1.14,968.452
166,0,0.0206,0.0,0.0,0.0082,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,214.044
167,0,0.0659,0.0,0.0,0.0264,0,0,0,0,0,VERT,Comportement statistiquement atypique,-15.0,0.0,0.99,1059.839
168,0,0.0131,0.0,0.0,0.0053,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,387.804
169,0,0.0289,0.0,0.0,0.0116,0,0,0,0,0,VERT,Faible encaissement (72.3%),0.0,0.0,0.723,32.779
170,0,0.0223,0.0,0.0,0.0089,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,138.484
171,0,0.0248,0.0,0.0,0.0099,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,78.133
172,0,0.0174,0.0,0.0,0.007,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,443.519
173,0,0.0321,0.0,0.0,0.0128,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.805,343.706
174,0,0.0246,0.0,0.0,0.0098,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,143.46
175,0,0.1482,0.0,0.0,0.0593,0,0,0,0,0,VERT,Faible encaissement (0.2%),-18.0,0.0,0.002,2242.391
176,0,0.0221,0.0,0.0,0.0088,0,0,0,0,0,VERT,Comportement statistiquement atypique,-2.143,0.0,0.997,2671.936
177,0,0.1755,0.0,0.0,0.0702,0,0,0,0,0,VERT,Comportement statistiquement atypique,-14.75,0.0,1.957,2200.716
178,0,0.1411,0.0,0.0,0.0564,0,0,0,0,0,VERT,Comportement statistiquement atypique,-40.0,0.0,0.99,2771.587
179,0,0.0081,0.0,0.0,0.0032,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,541.792
180,0,0.0096,0.0,0.0,0.0038,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,590.819
181,0,0.0835,0.0,0.0,0.0334,0,0,0,0,0,VERT,Comportement statistiquement atypique,-37.25,0.0,1.264,2132.606
182,0,0.1733,0.0,0.0,0.0693,0,0,0,0,0,VERT,Comportement statistiquement atypique,-42.333,0.0,0.938,3610.959
183,0,0.0195,0.0,0.0,0.0078,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,541.953
184,0,0.0068,0.0,0.0,0.0027,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,916.484
185,0,0.016,0.0,0.0,0.0064,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.961,257.751
186,0,0.0165,0.0,0.0,0.0066,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.992,1052.957
187,0,0.0635,0.0,0.0,0.0254,0,0,0,0,0,VERT,Comportement statistiquement atypique,-46.0,0.0,0.993,1363.022
188,0,0.1651,0.0,0.0,0.066,0,0,0,0,0,VERT,Comportement statistiquement atypique,-21.5,0.0,2.0,2300.032
189,0,0.023,0.0,0.0,0.0092,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,112.216
190,0,0.0316,0.0,0.0,0.0126,0,0,0,0,0,VERT,Faible encaissement (74.9%),0.0,0.0,0.749,1480.032
191,0,0.0084,0.0,0.0,0.0033,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,1.0,761.307
192,0,0.0164,0.0,0.0,0.0066,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.933,1066.394
193,1,0.0779,0.0,0.0,0.0311,0,0,0,0,0,VERT,Faible encaissement (0.0%),0.0,0.0,0.0,169.326
194,1,0.0681,0.0,0.0,0.0272,0,0,0,0,0,VERT,Faible encaissement (0.0%),0.0,0.0,0.0,365.141
195,0,0.0387,0.0,0.0,0.0155,0,0,0,0,0,VERT,Comportement statistiquement atypique,-4.0,0.0,0.8,2987.598
196,0,0.2536,0.0,0.0,0.1015,0,0,0,0,0,VERT,Taux retard élevé (16.7%),-8.333,0.167,0.996,670.63
197,1,0.2857,0.0003,0.0,0.1144,0,1,0,0,1,JAUNE,Faible encaissement (0.0%),0.0,0.0,0.0,19333.047
198,0,0.0374,0.0,0.0,0.015,0,0,0,0,0,VERT,Comportement statistiquement atypique,-0.077,0.0,0.905,2404.391
199,0,0.04,0.0,0.0,0.016,0,0,0,0,0,VERT,Comportement statistiquement atypique,-40.143,0.0,0.975,1871.324
200,0,0.2526,0.0,0.0,0.101,0,0,0,0,0,VERT,Taux retard élevé (16.7%) | Faible encaissement (39.7%),-35.0,0.167,0.397,2035.062
201,0,0.0699,0.0,0.0,0.0279,0,0,0,0,0,VERT,Faible encaissement (77.6%),-47.6,0.0,0.776,949.126
202,0,0.0833,0.0,0.0,0.0333,0,0,0,0,0,VERT,Faible encaissement (61.2%),-27.059,0.0,0.612,2221.735
203,0,0.0036,0.0,0.0,0.0014,0,0,0,0,0,VERT,Comportement statistiquement atypique,0.0,0.0,0.99,773.671
204,0,0.0331,0.0,0.0,0.0132,0,0,0,0,0,VERT,Comportement statistiquement atypique,-32.0,0.0,0.898,1470.602
205,0,0.0844,0.0,0.0,0.0337,0,0,0,0,0,VERT,Comportement statistiquement atypique,-54.909,0.0,0.998,795.399
206,0,0.0855,0.0,0.0,0.0342,0,0,0,0,0,VERT,Faible encaissement (59.3%),-34.25,0.0,0.593,2897.3
