client_index,score_gnn,score_contagion,score_final_m2,label_reel,alerte
323,0.95,1.69,1.17,0,VERT
324,1.24,2.87,1.73,0,VERT
325,2.39,1.24,2.05,0,VERT
326,1.05,25.94,8.52,0,VERT
327,6.93,18.0,10.25,0,VERT
328,1.12,18.0,6.18,0,VERT
329,0.52,2.2,1.02,0,VERT
330,99.36,1.89,70.12,1,ROUGE
331,2.66,2.2,2.52,0,VERT
332,3.27,2.49,3.04,0,VERT
333,1.19,21.21,7.2,0,VERT
334,0.71,17.71,5.81,0,VERT
335,0.35,25.04,7.76,0,VERT
336,0.36,0.18,0.31,0,VERT
337,0.19,0.22,0.2,0,VERT
338,0.1,0.06,0.09,0,VERT
339,0.68,0.06,0.49,0,VERT
340,0.01,0.31,0.1,0,VERT
341,0.08,0.66,0.25,0,VERT
342,0.1,0.25,0.15,0,VERT
343,0.06,0.37,0.15,0,VERT
344,1.71,0.24,1.27,0,VERT
345,0.24,3.01,1.07,0,VERT
346,0.45,2.66,1.11,0,VERT
347,0.3,2.7,1.02,0,VERT
348,9.5,0.25,6.72,0,VERT
349,0.02,0.04,0.03,0,VERT
350,0.22,0.13,0.19,0,VERT
351,0.14,0.22,0.16,0,VERT
352,0.31,0.22,0.28,0,VERT
353,0.0,0.17,0.05,0,VERT
354,0.08,0.17,0.11,0,VERT
355,0.12,0.09,0.11,0,VERT
356,0.38,0.11,0.3,0,VERT
357,0.14,0.09,0.13,0,VERT
358,0.12,0.04,0.1,0,VERT
359,0.04,0.15,0.07,0,VERT
360,0.03,0.13,0.06,0,VERT
361,0.03,0.0,0.02,0,VERT
362,0.01,0.01,0.01,0,VERT
363,0.0,0.16,0.05,0,VERT
364,0.0,0.21,0.06,0,VERT
365,0.22,0.3,0.24,0,VERT
366,0.0,0.2,0.06,0,VERT
367,0.05,0.06,0.05,0,VERT
368,0.55,0.04,0.4,0,VERT
369,0.04,0.01,0.03,0,VERT
370,0.03,0.02,0.03,0,VERT
371,0.02,0.14,0.05,0,VERT
372,0.02,0.2,0.07,0,VERT
373,0.18,0.07,0.15,0,VERT
374,0.19,0.07,0.16,0,VERT
375,0.04,0.13,0.07,0,VERT
376,0.53,0.81,0.61,0,VERT
377,0.07,0.53,0.21,0,VERT
378,2.22,0.36,1.66,0,VERT
379,0.15,0.33,0.2,0,VERT
380,0.3,0.22,0.28,0,VERT
381,0.54,0.1,0.41,0,VERT
382,0.41,0.89,0.55,0,VERT
383,0.14,0.56,0.27,0,VERT
384,0.31,0.15,0.26,0,VERT
385,0.05,0.33,0.13,0,VERT
386,0.09,0.33,0.16,0,VERT
387,0.32,0.12,0.26,0,VERT
388,0.23,0.16,0.21,0,VERT
389,0.0,0.32,0.1,0,VERT
390,0.08,0.23,0.13,0,VERT
391,0.04,0.17,0.08,0,VERT
392,0.03,0.52,0.18,0,VERT
393,0.06,0.06,0.06,0,VERT
394,0.41,0.04,0.3,0,VERT
395,0.03,2.21,0.68,0,VERT
396,0.1,0.61,0.25,0,VERT
397,0.01,0.08,0.03,0,VERT
398,0.02,0.12,0.05,0,VERT
399,0.19,0.07,0.15,0,VERT
400,0.01,0.12,0.04,0,VERT
401,0.09,2.45,0.8,0,VERT
402,0.13,3.0,0.99,0,VERT
403,2.34,0.13,1.68,0,VERT
404,0.03,0.34,0.12,0,VERT
405,0.03,0.44,0.15,0,VERT
406,9.59,0.34,6.81,0,VERT
407,0.1,0.27,0.15,0,VERT
408,0.37,2.1,0.89,0,VERT
409,0.76,2.09,1.16,0,VERT
410,1.16,0.25,0.89,0,VERT
411,0.05,0.69,0.24,0,VERT
412,0.74,0.4,0.64,0,VERT
413,1.11,0.56,0.94,0,VERT
414,0.54,2.64,1.17,0,VERT
415,0.41,3.9,1.46,0,VERT
416,0.38,6.68,2.27,0,VERT
417,4.56,5.28,4.78,0,VERT
418,1.07,1.67,1.25,0,VERT
419,10.39,1.44,7.7,0,VERT
420,0.38,1.27,0.65,0,VERT
421,6.83,0.07,4.8,0,VERT
422,0.62,1.77,0.96,0,VERT
423,0.07,3.81,1.19,0,VERT
424,1.77,22.91,8.11,0,VERT
425,1.01,26.16,8.55,0,VERT
426,3.16,0.87,2.47,0,VERT
427,99.62,1.96,70.32,1,ROUGE
428,0.72,1.98,1.1,0,VERT
429,0.83,50.17,15.63,0,VERT
430,0.9,1.79,1.17,0,VERT
431,0.67,21.35,6.87,0,VERT
432,5.53,26.1,11.7,0,VERT
433,2.36,1.63,2.14,0,VERT
434,2.11,2.6,2.26,0,VERT
435,1.95,2.06,1.98,0,VERT
436,1.18,2.01,1.43,0,VERT
437,0.76,2.15,1.18,0,VERT
438,3.31,1.67,2.82,0,VERT
439,99.65,0.68,69.96,1,ORANGE
440,0.87,50.07,15.63,0,VERT
441,0.48,27.72,8.65,0,VERT
442,1.67,7.96,3.56,0,VERT
443,13.5,4.01,10.65,0,VERT
444,0.35,4.76,1.67,0,VERT
445,10.27,4.53,8.55,0,VERT
446,0.1,4.53,1.43,0,VERT
447,1.78,0.0,1.25,0,VERT
448,5.37,4.76,5.19,0,VERT
449,3.9,19.3,8.52,0,VERT
450,6.43,22.61,11.28,0,VERT
451,0.51,28.12,8.79,0,VERT
452,99.17,3.61,70.5,1,ROUGE
453,2.99,3.33,3.09,0,VERT
454,10.31,1.96,7.8,0,VERT
455,4.29,6.65,5.0,0,VERT
456,0.25,6.74,2.2,0,VERT
457,0.31,6.74,2.24,0,VERT
458,1.21,7.65,3.14,0,VERT
459,0.43,0.78,0.53,0,VERT
460,1.34,0.88,1.2,0,VERT
461,18.62,0.87,13.29,0,VERT
462,1.45,6.86,3.07,0,VERT
463,0.2,7.28,2.32,0,VERT
464,1.77,4.02,2.44,0,VERT
465,0.17,1.35,0.52,0,VERT
466,1.29,0.43,1.03,0,VERT
467,0.68,6.52,2.43,0,VERT
468,5.75,8.9,6.69,0,VERT
469,2.07,6.46,3.39,0,VERT
470,99.65,8.68,72.36,1,ROUGE
471,23.36,16.42,21.28,0,VERT
472,1.26,16.42,5.81,0,VERT
473,1.05,1.05,1.05,0,VERT
474,0.68,8.56,3.04,0,VERT
475,1.42,21.61,7.48,0,VERT
476,4.7,5.87,5.05,0,VERT
477,3.49,1.85,3.0,0,VERT
478,0.86,3.2,1.56,0,VERT
479,0.4,3.86,1.44,0,VERT
480,6.05,2.51,4.99,0,VERT
481,5.19,3.23,4.6,0,VERT
482,1.95,2.41,2.09,0,VERT
483,0.64,1.5,0.9,0,VERT
484,5.0,0.88,3.76,0,VERT
485,3.34,1.17,2.69,0,VERT
486,0.23,2.53,0.92,0,VERT
487,2.01,1.84,1.96,0,VERT
488,0.69,1.59,0.96,0,VERT
489,1.84,1.2,1.65,0,VERT
490,0.91,1.68,1.14,0,VERT
491,1.52,1.3,1.45,0,VERT
492,1.38,1.75,1.49,0,VERT
493,1.97,1.09,1.71,0,VERT
494,0.28,0.73,0.42,0,VERT
495,0.54,0.97,0.67,0,VERT
496,0.02,0.81,0.26,0,VERT
497,0.81,1.43,1.0,0,VERT
498,0.65,1.84,1.01,0,VERT
499,0.7,3.6,1.57,0,VERT
500,3.6,1.24,2.89,0,VERT
501,2.8,1.69,2.47,0,VERT
502,0.8,0.9,0.83,0,VERT
503,0.79,0.78,0.79,0,VERT
504,0.76,0.8,0.77,0,VERT
505,1.25,0.56,1.04,0,VERT
506,0.45,0.59,0.49,0,VERT
507,0.68,0.85,0.73,0,VERT
508,0.49,0.51,0.49,0,VERT
509,0.46,0.65,0.52,0,VERT
510,0.36,0.65,0.45,0,VERT
511,0.13,0.48,0.24,0,VERT
512,0.54,0.44,0.51,0,VERT
513,0.16,0.37,0.22,0,VERT
514,0.04,0.34,0.13,0,VERT
515,0.4,0.1,0.31,0,VERT
516,0.47,0.14,0.37,0,VERT
517,0.5,0.13,0.39,0,VERT
518,0.03,0.5,0.17,0,VERT
519,0.18,0.3,0.22,0,VERT
520,0.1,0.11,0.1,0,VERT
521,0.19,0.36,0.24,0,VERT
522,0.16,0.1,0.14,0,VERT
523,0.1,0.11,0.1,0,VERT
524,0.12,0.12,0.12,0,VERT
525,0.05,0.06,0.05,0,VERT
526,0.04,0.09,0.05,0,VERT
527,0.08,0.06,0.07,0,VERT
528,0.05,1.9,0.61,0,VERT
529,5.59,0.08,3.94,0,VERT
530,0.11,9.99,3.07,0,VERT
531,0.01,4.91,1.48,0,VERT
532,0.0,0.06,0.02,0,VERT
533,0.01,0.0,0.01,0,VERT
534,0.15,0.34,0.21,0,VERT
535,24.33,49.43,31.86,0,ORANGE
536,0.75,0.33,0.62,0,VERT
537,0.37,0.5,0.41,0,VERT
538,0.54,0.75,0.6,0,VERT
539,0.07,24.97,7.54,0,VERT
540,0.15,49.4,14.92,0,VERT
541,98.72,0.11,69.14,1,ORANGE
542,0.26,0.28,0.27,0,VERT
543,0.12,0.48,0.23,0,VERT
544,0.51,0.19,0.41,0,VERT
545,0.3,0.07,0.23,0,VERT
546,0.39,0.07,0.29,0,VERT
547,0.09,0.0,0.06,0,VERT
548,0.03,0.05,0.04,0,VERT
549,0.09,0.14,0.1,0,VERT
550,0.05,0.17,0.09,0,VERT
551,0.08,0.08,0.08,0,VERT
552,0.11,0.06,0.1,0,VERT
553,0.04,0.08,0.05,0,VERT
554,0.05,0.65,0.23,0,VERT
555,1.78,0.08,1.27,0,VERT
556,0.06,1.11,0.38,0,VERT
557,0.1,1.29,0.46,0,VERT
558,0.07,1.15,0.4,0,VERT
559,3.42,0.51,2.55,0,VERT
560,1.06,1.19,1.1,0,VERT
561,2.22,1.41,1.98,0,VERT
562,0.41,1.75,0.81,0,VERT
563,0.85,1.51,1.05,0,VERT
564,1.32,5.42,2.55,0,VERT
565,15.74,8.77,13.65,0,VERT
566,12.79,9.76,11.88,0,VERT
567,0.11,0.0,0.08,0,VERT
568,0.15,0.14,0.15,0,VERT
569,0.42,0.14,0.34,0,VERT
570,0.11,0.39,0.19,0,VERT
571,0.16,0.33,0.21,0,VERT
572,0.16,0.33,0.21,0,VERT
573,0.13,0.33,0.19,0,VERT
574,0.21,0.61,0.33,0,VERT
575,0.61,0.3,0.52,0,VERT
576,0.16,0.35,0.22,0,VERT
577,2.65,0.66,2.05,0,VERT
578,0.53,1.05,0.69,0,VERT
579,0.79,1.0,0.85,0,VERT
580,0.22,3.39,1.17,0,VERT
581,4.21,2.62,3.73,0,VERT
582,5.03,2.63,4.31,0,VERT
583,0.92,1.6,1.12,0,VERT
584,1.07,1.92,1.33,0,VERT
585,4.05,1.83,3.38,0,VERT
586,0.64,2.08,1.07,0,VERT
587,3.47,35.01,12.93,0,VERT
588,0.13,26.3,7.98,0,VERT
589,1.53,19.55,6.94,0,VERT
590,3.78,19.55,8.51,0,VERT
591,98.96,3.22,70.24,1,ROUGE
592,1.89,0.98,1.62,0,VERT
593,0.62,1.89,1.0,0,VERT
594,31.8,7.35,24.46,0,VERT
595,1.1,14.15,5.01,0,VERT
596,14.15,6.96,11.99,0,VERT
597,99.87,99.9,99.88,1,ROUGE
598,10.0,71.02,28.31,0,VERT
599,99.87,56.61,86.89,1,ROUGE
600,99.9,56.61,86.91,1,ROUGE
601,99.96,55.03,86.48,1,ROUGE
602,99.84,28.13,78.33,1,ROUGE
603,99.63,39.96,81.73,0,ROUGE
604,99.99,19.96,75.98,1,ROUGE
605,99.68,16.76,74.8,1,ROUGE
606,100.0,33.4,80.02,1,ROUGE
607,0.01,0.01,0.01,0,VERT
608,0.15,0.02,0.11,0,VERT
609,0.03,7.86,2.38,0,VERT
610,31.43,0.01,22.0,0,VERT
611,99.05,24.33,76.63,1,ROUGE
612,99.81,2.55,70.63,1,ROUGE
613,98.53,6.18,70.82,1,ROUGE
614,99.96,0.04,69.98,1,ORANGE
615,0.1,99.81,30.01,0,ORANGE
616,0.01,99.86,29.96,0,VERT
617,0.04,50.63,15.22,0,VERT
618,0.03,49.85,14.98,0,VERT
619,0.03,0.37,0.13,0,VERT
620,0.06,2.55,0.81,0,VERT
621,0.02,1.41,0.44,0,VERT
622,2.83,0.16,2.03,0,VERT
623,0.52,0.25,0.44,0,VERT
624,0.87,0.25,0.68,0,VERT
625,5.99,0.28,4.28,0,VERT
626,0.24,0.51,0.32,0,VERT
627,0.51,30.02,9.36,0,VERT
628,0.63,33.76,10.57,0,VERT
629,2.55,99.84,31.74,0,ORANGE
630,99.88,1.23,70.29,1,ROUGE
631,99.8,2.14,70.5,1,ROUGE
632,99.9,1.52,70.39,1,ROUGE
633,1.65,99.9,31.13,0,ORANGE
634,0.98,35.52,11.34,0,VERT
635,0.1,21.48,6.51,0,VERT
636,3.36,51.59,17.83,0,VERT
637,0.2,0.57,0.31,0,VERT
638,6.0,1.21,4.56,0,VERT
639,0.66,1.21,0.83,0,VERT
640,0.62,1.01,0.74,0,VERT
641,0.14,1.87,0.66,0,VERT
642,1.47,1.59,1.51,0,VERT
643,1.01,0.13,0.75,0,VERT
644,1.93,0.02,1.36,0,VERT
645,0.02,1.97,0.6,0,VERT
646,2.35,1.48,2.09,0,VERT
647,0.66,2.14,1.1,0,VERT
648,2.04,0.99,1.73,0,VERT
649,2.98,0.7,2.3,0,VERT
650,1.41,0.7,1.2,0,VERT
651,0.34,1.41,0.66,0,VERT
652,1.42,0.47,1.13,0,VERT
653,0.47,1.42,0.76,0,VERT
654,0.02,1.72,0.53,0,VERT
655,2.16,0.19,1.57,0,VERT
656,0.34,0.88,0.5,0,VERT
657,0.21,0.79,0.39,0,VERT
658,0.53,0.18,0.42,0,VERT
659,0.13,0.53,0.25,0,VERT
660,0.36,0.14,0.29,0,VERT
661,0.22,0.13,0.19,0,VERT
662,0.0,0.19,0.06,0,VERT
663,0.02,0.15,0.06,0,VERT
664,0.01,0.12,0.04,0,VERT
665,0.0,0.12,0.03,0,VERT
666,0.0,0.07,0.02,0,VERT
667,0.0,0.01,0.0,0,VERT
668,0.0,0.01,0.0,0,VERT
669,0.0,26.51,7.95,0,VERT
670,6.74,0.0,4.72,0,VERT
671,0.0,0.97,0.29,0,VERT
672,0.01,0.01,0.01,0,VERT
673,99.32,0.01,69.53,1,ORANGE
674,0.0,19.96,5.99,0,VERT
675,0.02,20.63,6.2,0,VERT
676,0.02,17.22,5.18,0,VERT
677,0.03,49.9,14.99,0,VERT
678,0.16,0.25,0.19,0,VERT
679,0.48,0.24,0.41,0,VERT
680,3.36,0.38,2.47,0,VERT
681,1.1,3.89,1.94,0,VERT
682,0.38,1.65,0.76,0,VERT
683,11.33,4.02,9.14,0,VERT
684,0.06,4.74,1.47,0,VERT
685,0.77,5.7,2.25,0,VERT
686,15.66,16.38,15.88,0,VERT
687,0.26,16.38,5.1,0,VERT
688,2.29,3.34,2.61,0,VERT
689,68.52,4.01,49.17,0,ORANGE
690,1.98,4.55,2.75,0,VERT
